Название;Место;Дата проведения;Организатор;Ссылка
International Conference on Computing Science, Communication and Security (COMS2) & Doctoral Colloquium 2021 - международная конференция по вычислительной технике, коммуникациям и безопасности;Индия, Мехсана , Ganpat University; с 6 по 7 февраля ;Ganpat University;https://expomap.ru/conference/international-conference-on-computing-science-communication-and-security-coms2-doctoral-colloquium-2021/
Creativity, Critical Thinking and Problem Solving Conference Mumbai 2021 - международная конференция по принятию решений;Индия, Мумбаи; 8 февраля 2021 ;World Academy of Science, Engineering and Technology;https://expomap.ru/conference/creativity-critical-thinking-and-problem-solving-conference-mumbai-2021/
Creativity, Critical Thinking and Problem Solving Conference Lisbon 2021 - международная конференция по принятию решений;Онлайн, Веб; с 8 по 9 февраля ;World Academy of Science, Engineering and Technology;https://expomap.ru/conference/creativity-critical-thinking-and-problem-solving-conference-lisbon-2021/
NADA Convention 2021 - конференция и выставка автомобильных дилеров;Онлайн, Веб; с 21 по 24 января с 9 по 11 февраля ;National Automobile Dealers Association;https://expomap.ru/conference/nada-convention-2021/
ASHRAE Winter Conference 2021 - конференция по вопросам климат-контроля;Онлайн, Веб; с 23 по 27 января с 9 по 11 февраля ;ASHRAE;https://expomap.ru/conference/ashrae-winter-conference-2021/
АгроЮг 2021 - международный инвестиционный форум;Россия, Ставрополь , Министерство сельского хозяйства Ставропольского края; 11 февраля 2021 Новые даты не анонсированы;Vostock Capital;https://expomap.ru/conference/agrojug-2021/
Routes Americas 2021 - конференция по разработке авиационных маршрутов;Колумбия, Богота; с 9 по 11 февраля ;Routes;https://expomap.ru/conference/routes-americas-2021/
Nuclear Deterrence Summit 2021 - саммит по ядерному сдерживанию;США, Александрия , The Westin Alexandria; с 9 по 11 февраля Новые даты не анонсированы;Access Intelligence, LLC.;https://expomap.ru/conference/nuclear-deterrence-summit-2021/
ТБ Форум 2021 - международный форум по технологиям безопасности;Россия, Москва; с 9 по 11 февраля ;ООО «Гротек»;https://expomap.ru/conference/tb-forum-2021/
TradeTech FX USA 2021 - конференция по системам торговли;Онлайн, Веб; с 9 по 11 февраля ;World Business Research (WBR);https://expomap.ru/conference/tradetech-fx-usa-2021/
Цифровой ритейл: диалог на высшем уровне 2021 - конференция по вопросам рыночного бизнеса;Россия, Москва; 11 февраля 2021 ;CFO-Russia, группа Prosperity Media;https://expomap.ru/conference/tsifrovoj-ritejl-dialog-na-vysshem-urovne-2021/
PR+ Forum 2021 - всероссийский форум профессионалов сферы PR;Россия, Москва , Холидей Инн Москва Сущевский; с 10 по 12 февраля ;InterForum;https://expomap.ru/conference/pr-forum-2021/
OOP 2021 - конференция по программированию и архитектуре программного обеспечения;Германия, Мюнхен; с 8 по 12 февраля ;SIGS DATACOM GmbH;https://expomap.ru/conference/oop-2021/
PaperWeek Canada 2021 - выставка целлюлозно-бумажной технической ассоциации Канады;Канада, Монреаль; с 8 по 12 февраля ;Pulp and Paper Technical Association of Canada;https://expomap.ru/conference/paperweek-canada-2021/
Australian Small Bridges Conference 2021 - международная конференция по мостам для автомобильного, железнодорожного и велосипедного транспорта;Австралия, Голд-Кост , JW Marriott Gold Coast Resort & SPA; с 15 по 16 февраля ;Leading Infrastructure Pty Ltd;https://expomap.ru/conference/australian-small-bridges-conference-2021/
Внутренний контроль и внутренний аудит как инструменты повышения эффективности бизнеса 2021 - конференция;Россия, Москва; 16 февраля 2021 ;CFO-Russia, группа Prosperity Media;https://expomap.ru/conference/vnutrennij-kontrol-i-vnutrennij-audit-kak-instrumenty-povyshenija-effektivnosti-biznesa-2021/
Oceanology International North America 2021 - международный форум океанологов;США, Сан-Диего , San Diego Convention Center; с 16 по 17 февраля ;Reed Exhibitions Ltd/;https://expomap.ru/conference/oceanology-international-north-america-2021/
World HRD Congress 2021 - международный конгресс по подбору персонала;Индия, Мумбаи , Fun & Joy Office at Prime Plaza; с 15 по 17 февраля ;CMO Asia;https://expomap.ru/conference/world-hrd-congress-2021/
Гидроэнергетика. Каспий и Центральная Азия 2021 - международный конгресс и выставка по гидроэнергетике;Узбекистан, Ташкент; с 17 по 18 февраля ;Vostock Capital;https://expomap.ru/conference/gidroenergetika-kaspij-i-tsentralnaja-azija-2021/
SPIE Medical Imaging 2021 - международная конференция по медицинской визуализации;США, Сан-Диего , Town and Country Resort and Convention Center; с 14 по 18 февраля ;SPIE;https://expomap.ru/conference/spie-medical-imaging-2021/
World CSR Day 2021 - международный конгресс по вопросам КСО;Индия, Мумбаи , Fun & Joy Office at Prime Plaza; 18 февраля 2021 ;CMO Asia;https://expomap.ru/conference/world-csr-day-2021/
All in Top Conf 2021 - профессиональная практическая SEO конференция;"Россия, Москва , гостиница ""Салют"""; с 17 по 18 февраля ;All in Top;https://expomap.ru/conference/all-in-top-conf-2021/
Nitrogen + Syngas USA 2021 - международная выставка и конференция производства азота и сингаза;Онлайн, Веб; с 16 по 18 февраля ;CRU Events;https://expomap.ru/conference/nitrogen-syngas-usa-2021/
МАК 2021 - межрегиональная агропромышленная конференция;"Россия, Челябинск , Отель ""Radisson Blu"""; с 17 по 18 февраля ;"ООО ""Первое выставочное объединение""";https://expomap.ru/conference/mak-2021/
Информационные технологии в казначействе 2021 - конференция;Россия, Москва; 18 февраля 2021 ;CFO-Russia, группа Prosperity Media;https://expomap.ru/conference/informatsionnyie-tehnologii-v-kaznachejstve-2021/
Зерно России 2021 - международный сельскохозяйственный форум;Россия, Краснодар; 19 февраля 2021 ;Журнал Агробизнес;https://expomap.ru/conference/zerno-rossii-2021/
SAM Symposium 2021 - международный симпозиум по эстетической медицине;Россия, Москва , Центр международной торговли на Красной Пресне; с 20 по 22 января с 17 по 19 февраля ;ЭкспоМедиаГруппа «Старая крепость»,Журнал «Эстетическая медицина»;https://expomap.ru/conference/sam-symposium-2021/
EUEC 2021 - конференция по энергетике и состоянию окружающей среды;Онлайн, Веб , Convention Center; с 8 по 19 февраля ;EUEC;https://expomap.ru/conference/euec-2021/
Shift Your Perspective to Next Gen Pricing 2021 - международная конференция по ценообразованию (оффлайн+онлайн);Россия, Сочи , Rosa KHUTOR отель Radisson; с 18 по 19 февраля ;My Retail Strategy;https://expomap.ru/conference/shift-your-perspective-to-next-gen-pricing-2021/
Networking Show Conference 2021 - конференция о новых тенденциях бизнес-коммуникаций и современных возможностях;Россия, Москва , LoftFar4; с 19 по 20 февраля ;JC Agency;https://expomap.ru/conference/networking-show-conference-2021/
Primed South Conference 2021 - международная медицинская конференция;США, Орландо; с 18 по 21 февраля ;Primed;https://expomap.ru/conference/primed-south-conference-2021/
SPIE Advanced Lithography 2021 - международная конференция по микролитографии;США, Сан-Хосе , San Jose Marriott and San Jose Convention Center; с 21 по 25 февраля ;SPIE;https://expomap.ru/conference/spie-advanced-lithography-2021/
World Sustainable Energy Days (WSED) 2021 - специализированная выставка и конференция по энергетической промышленности;Австрия, Вельс , Stadthalle Wels; с 24 по 26 февраля ;Energiesparverband;https://expomap.ru/conference/world-sustainable-energy-days-wsed-2021/
Customer Contact Week Disrupt 2021 - конференция по вопросам работы контактных центров (оффлайн+онлайн);Австралия, Сидней , Doltone House Jones Bay Wharf; с 23 по 26 февраля ;IQPC;https://expomap.ru/conference/cutomerl-contact-disrupt-2021/
Управление закупками в компании 2021 - специализаированная конференция;Россия, Москва; 26 февраля 2021 ;CFO-Russia, группа Prosperity Media;https://expomap.ru/conference/upravlenie-zakupkami-v-kompanii-2021/
MPA Convention And Exposition 2021 - международный конвент и выставка здравоохранения;Онлайн, Веб; с 26 по 27 февраля ;MPA;https://expomap.ru/conference/mpa-convention-and-exposition-2021/
"Медицинская помощь при травмах 2021 - международный конгресс на тему ""Новое в организации и технологиях. Роль национальной общественной профессиональной организации травматологов в системе здравоохранения РФ""";Россия, Санкт-Петербург , Отель «Crowne Plaza St. Petersburg Airport»; с 26 по 27 февраля ;ОО «Человек и его здоровье»;https://expomap.ru/conference/meditsinskaja-pomosch-pri-travmah-2021/
FACE ASEAN 2021 - конференция и выставка по эстетической медицине лица;Индонезия, Бали; с 27 по 28 февраля ;InformaMarkets;https://expomap.ru/conference/face-asean-2021/
Face & Body Conference Midwest 2021 - международная конференция косметологов по уходу за кожей;США, Роузмонт , Donald E. Stephens Convention Center; с 28 февраля по 1 марта ;Allured Business Media;https://expomap.ru/conference/face-body-conference-midwest-2021/
MRO Middle East Summit 2021 - саммит по техобслуживанию в коммерческой авиации;ОАЭ, Дубай; 1 марта 2021 ;InformaMarkets;https://expomap.ru/conference/mro-middle-east-2021/
MALT Congress 2021 - международная конференция MICE и роскошного туризма;ОАЭ, Дубай; с 1 по 2 марта ;QNA International;https://expomap.ru/conference/malt-congress-2021/
Social Media Marketing World 2021 - конференция по социальным медиа;США, Сан-Диего , San Diego Convention Center; с 28 февраля по 2 марта ;Social Media Examiner;https://expomap.ru/conference/social-media-marketing-world-2021/
GR Force 2021 - форум о взаимодействии бизнеса и власти;Россия, Москва , Marriott Moscow Hotel Novy Arbat; 2 марта 2021 ;Auditorium CG;https://expomap.ru/conference/gr-force-2021/
DealMaker Los Angeles 2021 - конференция по ведению бизнеса, маркетингу и рекламе;США, Лос-Анджелес , Terranea; с 2 по 3 марта Новые даты не анонсированы;Rakuten Marketing LLC;https://expomap.ru/conference/dealmaker-los-angeles-2021/
Nitrogen + Syngas Rome 2021 - международная выставка и конференция производства азота и сингаза;Италия, Рим; с 1 по 3 марта ;CRU Events;https://expomap.ru/conference/nitrogen-syngas-rome-2021/
ICCX Central Europe 2021 - международная конференция и выставка по бетону;Польша, Варшава; с 3 по 4 марта ;Ad media GmbH Germany;https://expomap.ru/conference/iccx-central-europe-2021/
Summit for Clinical Trials Ops Executives (SCOPE) 2021 - конференция по вопросам клинических исследований;Онлайн, Веб , Rosen Shingle Creek; с 2 по 4 марта ;CHI - Cambridge Healthtech Institute;https://expomap.ru/conference/summit-for-clinical-trials-ops-executives-scope-2021/
Smart Building 2021 - международный форум;Украина, Киев; с 3 по 4 марта ;"ОО «Предпринимательский Клуб»; Компания «MONET»";https://expomap.ru/conference/smart-building-2021/
Digital Future Congress Frankfurt 2021 - конференция по информационным технологиям;Германия, Франкфурт , Messe Frankfurt; 4 марта 2021 ;AMC Media Network GmbH & Co. KG;https://expomap.ru/conference/digital-future-congress-frankfurt-2021/
Scope Summit for Clinical OPS Executives 2021 - ежегодная конференция по вопросам клинических исследований;США, Орландо , Rosen Shingle Creek; с 1 по 4 марта ;Cambridge Health Institute (CHI);https://expomap.ru/conference/scope-summit-for-clinical-ops-executives-2021/
Даунстрим Россия 2021 - конференция о строительстве и модернизации НПЗ,ГПЗ и НХП;Россия, Краснодар; с 2 по 4 марта ;Vostock Capital UK;https://expomap.ru/conference/daunstrim-rossija-2021/
THE CEO'S PR 2021 - практический форум по продвижению первых лиц;Россия, Москва , Marriott Moscow Hotel Novy Arbat; 4 марта 2021 ;Auditorium CG;https://expomap.ru/conference/the-ceos-pr-2021/
Российский форум полеводов 2021 - сельскохозяйственный форум;Россия, Краснодар , Four Points by Sheraton Krasnodar; 21 мая 2021 5 марта 2021 ;Журнал «Агробизнес»;https://expomap.ru/conference/rossijskij-forum-polevodov-2021/
American Montessori Society Conference 2021 - конференция членов Общества педагогики Монтессори США;Онлайн, Веб; с 5 по 6 марта ;American Montessori Society;https://expomap.ru/conference/american-montessori-society-conference-2021/
Congress of the Brazilian Society of Retina and Vitreous 2021 - конгресс по офтальмологии;Бразилия, Сан-Паулу , Bienal Pavilion; с 3 по 6 марта ;Fernanda Prestes Eventos;https://expomap.ru/conference/congress-of-the-brazilian-society-of-retina-and-vitreous-2021/
Pacific Dental Conference 2021 - тихоокеанская стоматологическая конференция и выставка;Онлайн, Веб; с 4 по 6 марта ;Pacific Dental Conference;https://expomap.ru/conference/pacific-dental-conference-2021/
BIO Asia 2021 - международная конференция по биотехнологиям;Япония, Токио , Grand Hyatt Tokyo; с 9 по 10 марта ;Bio (Biotechnology Industry Organization);https://expomap.ru/conference/bio-asia-2021/
North Carolina Airports Association Conference 2021 - конференция по гражданской авиации;США, Пайнхерст , Pinehurst Resort; с 9 по 11 марта ;NC Airports Association;https://expomap.ru/conference/north-carolina-airports-association-conference-2021/
Pittcon 2021 - международная выставка и конференция контрольно-измерительной аппаратуры;Онлайн, Веб; с 8 по 12 марта ;Pittsburgh Conference;https://expomap.ru/conference/pittcon-2021/
International Drilling Conference and Exhibition 2021 - международная конференция и выставка по бурению;Онлайн, Веб , Stavanger Forum; с 8 по 12 марта ;IADC;https://expomap.ru/conference/international-drilling-conference-and-exhibition-2021/
Future Food-Tech 2021 - международная конференция по вопросам технологий и инноваций в пищевой промышленности;Онлайн, Веб; с 11 по 12 марта ;Rethink Events Ltd;https://expomap.ru/conference/future-food-tech-2021/
Annual SPA Convention 2021 - конференция по личностному росту;США, Бостон , Boston Marriott Cambridge; с 17 по 20 марта ;SPA.;https://expomap.ru/conference/annual-spa-convention-2021/
Cancun Anesthesia Seminar 2021 - семинар по анестезии;Мексика, Канкун , Ritz-Carlton; с 13 по 20 марта ;Holiday Seminars;https://expomap.ru/conference/cancun-anesthesia-seminar-2021/
Hillsong Colour Conference New York 2021 - всемирная женская конференция;США, Нью-Йорк; с 19 по 20 марта ;Hillsong;https://expomap.ru/conference/hillsong-colour-conference-new-york-2021/
Благополучие и вовлеченность персонала 2021 - форум (оффлайн+онлайн);Россия, Москва , медиа-центр Palmira Business Club; с 19 по 20 марта ;"ООО ""Культура Счастья""";https://expomap.ru/conference/blagopoluchie-i-vovlechennost-personala-2021/
European Conference on Pharmaceutics 2021 - фармацевтическая конференция;Франция, Марсель , Marseille Chanot Exhibition and convention centre; с 22 по 23 марта ;Arbeitsgemeinschaft fur Pharmazeutische Verfahrenstechnik e. V. (APV);https://expomap.ru/conference/european-conference-on-pharmaceutics-2021/
Передовые Технологии Автоматизации. ПТА - Уфа 2021 - специализированная конференция по промышленной автоматизации и встраиваемым системам;Россия, Уфа , Holiday Inn Ufa; 24 марта 2021 ;ООО «ЭКСПОТРОНИКА»;https://expomap.ru/conference/peredovye-tehnologii-avtomatizatsii-pta-ufa-2021/
Customer Contact Week Asia 2021 - ежегодная конференция по вопросам работы контактных центров Азии;Онлайн, Веб; с 22 по 24 марта ;CX Network;https://expomap.ru/conference/cutomerl-contact-week-asia-2021/
Next Generation Customer Experience (NGCX) 2021 - конференция по вопросам межотраслевых стратегий повышения качества обслуживания клиентов;США, Индиан-Уэллс , Hyatt Regency Indian Wells; с 22 по 24 марта Новые даты не анонсированы;Worldwide Business Research (WBR);https://expomap.ru/conference/next-generation-customer-experience-ngcx-2021/
Управление талантами 2021 - всероссийский HR-Форум;Россия, Москва , Hilton Garden Inn Moscow Krasnoselskaya; 24 марта 2021 ;Auditorium CG;https://expomap.ru/conference/upravlenie-talantami-2021/
Корпоративное налоговое планирование 2021 - конференция;Россия, Москва; с 23 по 24 марта ;CFO-Russia, группа Prosperity Media;https://expomap.ru/conference/korporativnoe-nalogovoe-planirovanie-2021/
APAIE 2021 - международная конференция по образованию;Канада, Ванкувер , Vancouver Convention Centre; с 21 по 25 марта ;International Conference Services Ltd. Canada;https://expomap.ru/conference/apaie-2021/
NFMT 2021 - международная выставка и конференция по вопросам реконструкции и восстановительных работ над нежилыми зданиями;США, Балтимор , Baltimore Convention Center; с 23 по 25 марта ;NFMT (National Facilities Management & Technology);https://expomap.ru/conference/nfmt-2021/
International Investment Conference and Exhibition Desalination Latin America 2021 - международная инвестиционная конференция и выставка;Чили, Сантьяго , InterContinental Santiago; с 24 по 25 марта ;Vostock capital UK;https://expomap.ru/conference/international-investment-conference-and-exhibition-desalination-latin-america-2021/
ACHE Congress on Healthcare Leadership 2021 - конференция Американского колледжа управляющих в сфере здравоохранения;Онлайн, Веб; с 22 по 25 марта ;American College of Healthcare Executives;https://expomap.ru/conference/ache-congress-on-healthcare-leadership-2021/
LOPEC Congress 2021 - конгресс по органической и печатной электронике;Онлайн, Веб; с 23 по 25 марта ;Messe Munchen GmbH;https://expomap.ru/conference/lopec-congress-2021/
Montreal Wood Convention 2021 - международная конференция по транспортной логистике и трудовым ресурсам;Канада, Монреаль , Fairmont The Queen Elizabeth Hotel; с 23 по 25 марта ;Quebec Wood Export Bureau;https://expomap.ru/conference/montreal-wood-convention-2021/
Горнорудная промышленность России: Строительство и Модернизация 2021 - международная конференция и технический визит;Россия, Курск; с 24 по 25 марта ;Vostock Capital;https://expomap.ru/conference/gornorudnaja-promyshlennost-rossii-stroitelstvo-b-modernizatsija-2021/
Управление корпоративными финансами в России 2021 - конференция;Россия, Москва; 25 марта 2021 ;Continent Group;https://expomap.ru/conference/upravlenie-korporativnymi-finansami-v-rossii-2021/
VPROC 2021 - всероссийский форум директоров по закупкам «Автоматизация закупок, управление поставщиками и закупка услуг»;Россия, Москва , Холидей Инн Москва Сущевский; с 24 по 26 марта ;InterForum;https://expomap.ru/conference/vproc-2021/
C&B Russia Summit 2021 - всероссийский саммит по мотивации персонала;Россия, Москва , Hilton Garden Inn Moscow; с 25 по 26 марта ;Auditorium CG;https://expomap.ru/conference/c-b-russia-summit-2021/
BE: Marketing Conference 2021 - конференция по маркетинговым стратегиям, каналам и инструментам новой реальности;Россия, Москва , Интурист; с 25 по 26 марта ;Be2Conference Group;https://expomap.ru/conference/be-marketing-conference-2021/
AgileDays 2021 - конференция по гибкому управлению процессами (оффлайн+онлайн);Россия, Москва; с 25 по 26 марта ;ScrumTrek;https://expomap.ru/conference/agiledays-2021/
Общие центры обслуживания – Саммит руководителей 2021 - конференция;Россия, Москва; с 25 по 26 марта ;CFO-Russia, группа Prosperity Media;https://expomap.ru/conference/obschie-tsentry-obsluzhivanija-sammit-rukovoditelej-2021/
Hillsong Colour Conference Los Angeles 2021 - всемирная женская конференция;США, Лос-Анджелес; с 26 по 27 марта ;Hillsong;https://expomap.ru/conference/hillsong-colour-conference-los-angeles-2021/
ESGE Days 2021 - конференция по эндоскопии;Онлайн, Веб; с 25 по 27 марта ;European Society of Gastrointestinal Endoscopy;https://expomap.ru/conference/esge-days-2021/
MCE North & West Europe 2021 - международный форум для организаторов деловых событий и event-менеджеров;Германия, Дюссельдорф; с 28 по 30 марта ;Europe Congress;https://expomap.ru/conference/mce-north-west-europe-2021/
International Conference on Environmental Toxicology and Chemistry (ICETC) 2021 - международная конференция по экологической токсикологии и химии;Онлайн, Веб; с 29 по 30 марта ;Open Science Research Excellence;https://expomap.ru/conference/international-conference-on-environmental-toxicology-and-chemistry-icetc-2021/
International Conference on Materials Science and Chemistry 2021 - международная конференция и выставка материаловедения и химии;Франция, Париж; с 29 по 30 марта ;Allied Academies;https://expomap.ru/conference/international-conference-and-exhibition-on-materials-chemistry-2021/
Застройщики vs покупатели: в поисках баланса 2021 - бизнес-бранч для девелоперов;Россия, Тюмень , Технопарк; 19 февраля 2021 30 марта 2021 ;Центр конференций «Сегодня»;https://expomap.ru/conference/zastrojschiki-vs-pokupateli-v-poiskah-balansa-2021/
Future Digital Finance 2021 - международный финансовый саммит;США, Майами , Hyatt Regency Miami; с 30 по 31 марта Новые даты не анонсированы;WBR Ltd;https://expomap.ru/conference/future-digital-finance-2021/
Aero-Engines America 2021 - конференция разработчиков и производителей авиадвигателей (оффлайн+онлайн);США, Даллас; с 30 по 31 марта ;InformaMarkets;https://expomap.ru/conference/aero-engines-america-2021/
WCCE 2021 - международная химическая конференция и выставка;Великобритания, Лондон , Park Inn by Radisson Hotel & Conference Centre London Heathrow; с 12 по 14 апреля ;Innovinc International;https://expomap.ru/conference/wcce-2021/
Международный BIM-форум 2021 - форум по диджитализации и BIM-технологиям в строительной отрасли;Россия, Москва , Деловой центр «Амбер Плаза»; с 13 по 14 апреля ;«Ради Дома - Batiactu Groupe»;https://expomap.ru/conference/mezhdunarodnyj-bim-forum-2021/
Цифровое предприятие 2021 - форум;Россия, Москва; с 13 по 14 апреля ;CFO-Russia, группа Prosperity Media;https://expomap.ru/conference/tsifrovoe-predprijatie-2021/
WellFood Ingredients 2021 - международный саммит по пищевым натуральным ингредиентам;Бразилия, Сан-Паулу , Magno Pro space; с 14 по 15 апреля Новые даты не анонсированы;Koelnmesse GmbH;https://expomap.ru/conference/wellfood-ingredients-2021/
Drive World Conference 2021 - конференция по электронике в автомобилестроении;США, Сан-Хосе , San Jose McEnery Convention Center; с 26 по 28 января с 13 по 15 апреля ;Informa Markets;https://expomap.ru/conference/drive-world-conference-2021/
SPIE Defense + Commercial Sensing 2021 - выставка технологий безопасности, обороны и технологий дистанционного сбора данных;США, Анахайм , Gaylord Palms Resort & Convention Center; с 11 по 15 апреля ;SPIE;https://expomap.ru/conference/spie-defense-commercial-sensing-2021/
DesignCon 2021 - международная конференция по проектированию электроники;США, Сан-Хосе; с 13 по 15 апреля ;InformaMarkets;https://expomap.ru/conference/designcon-2021/
Transport Evolution Mozambique Forum & Showcase 2021 - транспортный форум и выставка;Мозамбик, Мапуту; с 13 по 15 апреля ;DMG Events;https://expomap.ru/conference/transport-evolution-mozambique-forum-showcase-2021/
Georgia Gambling Conference 2021 - конференция по игорному бизнесу;Грузия, Тбилиси; 15 апреля 2021 ;Smile Expo;https://expomap.ru/conference/georgia-gambling-conference-2021/
Customer Day B2B 2021 - конференция о клиентском опыте (СХ) в B2B (оффлайн+онлайн);Россия, Москва; с 14 по 15 апреля ;Future Business;https://expomap.ru/conference/customer-day-2021/
Энергетическое и промышленное страхование 2021 - международная конференция;Россия, Санкт-Петербург; с 15 по 16 апреля ;IС Energy;https://expomap.ru/conference/energeticheskoe-i-promyshlennoe-strahovanie-2021/
Евразийская Неделя Бизнеса 2021 - бизнес-форум (оффлайн+онлайн);"Россия, Екатеринбург , отель ""Hyatt Regency"", отель ""Novotel"""; с 15 по 16 апреля ;Z&G.Event;https://expomap.ru/conference/evrazijskaya-nedelya-biznesa-2021/
Как получить +100% к продажам за год. Строим систему: от стратегии до KPI 2021 - бизнес-завтрак;Россия, Москва; 16 апреля 2021 ;Berner&Stafford;https://expomap.ru/conference/kak-poluchit-100-k-prodazham-za-god-stroim-sistemu-ot-strategii-do-kpi-2021/
Retail CFO 2021 - форум финансовых директоров розничного бизнеса;Россия, Москва; с 15 по 16 апреля ;CFO-Russia, группа Prosperity Media;https://expomap.ru/conference/retail-cfo-2021/
IT Day Stuttgart 2021 - специализированный форум специалистов по информатике;Германия, Штутгарт , GENO-Haus Stuttgart; 17 апреля 2021 ;e-fellows.net;https://expomap.ru/conference/it-day-stuttgart-2021/
SQA Days 2021 - международная конференция по обеспечению качества ПО;Россия, Санкт-Петербург , отель Crowne Plaza St.Petersburg Airport; с 16 по 17 апреля ;IT Conf;https://expomap.ru/conference/sqa-days-2021/
International Knee Update 2021 - конференция по артропластике;Швейцария, Давос; с 15 по 17 апреля ;Intercongress;https://expomap.ru/conference/international-knee-update-2021/
International Congress for Joint Reconstruction (ICJR) 2021 - международный конгресс по совместному восстановлению Ближнего Востока;ОАЭ, Дубай , Intercontinental Hotel - Festival City; с 15 по 17 апреля ;MedOrg Seminars Organizing;https://expomap.ru/conference/international-congress-for-joint-reconstruction-icjr-2021/
EFCLIN Congress and Exhibition Berlin 2021 - конгресс производителей и разработчиков контактных линз;Германия, Берлин , Titanic Chaussee Hotel; с 15 по 17 апреля ;EFCLIN Exhibition;https://expomap.ru/conference/efclin-congress-and-exhibition-berlin-2021/
International Rubber Conference (IRC) 2021 - международная конференция производителей резины;Индия, Ченнаи , Chennai Trade Center; с 15 по 17 апреля ;Indian Rubber Institute;https://expomap.ru/conference/international-rubber-conference-irc-2021/
MICE Forum Sochi 2021 - форум представителей event-индустрии;Россия, Сочи; с 15 по 17 апреля ;АНО «Черноморское Конвеншн Бюро»;https://expomap.ru/conference/mice-forum-sochi-2021/
RADLA 2021 - конференция дерматологов;Онлайн, Веб; с 15 по 18 апреля ;Ana Juan Congresos;https://expomap.ru/conference/radla-2020/
